iter	Passed	Remaining
445	2111	255
446	2116	250
447	2120	246
448	2125	241
449	2129	236
450	2134	231
451	2138	227
452	2143	222
453	2148	217
454	2152	212
455	2156	208
456	2160	203
457	2165	198
458	2170	193
459	2174	189
460	2178	184
461	2182	179
462	2187	174
463	2191	170
464	2195	165
465	2200	160
466	2204	155
467	2208	151
468	2213	146
469	2218	141
470	2223	136
471	2227	132
472	2232	127
473	2236	122
474	2241	117
475	2246	113
476	2250	108
477	2254	103
478	2258	99
479	2263	94
480	2267	89
481	2272	84
482	2276	80
483	2280	75
484	2284	70
485	2289	65
486	2294	61
487	2298	56
488	2302	51
489	2307	47
490	2312	42
491	2316	37
492	2319	32
493	2323	28
494	2328	23
495	2332	18
496	2337	14
497	2341	9
498	2345	4
499	2349	0
